Achat, facturation, remboursement		CAT1
Applicatifs, hébergement, infogérance		CAT2
Archives		CAT3
Collaboratif ,  Partage et GED WEB		CAT4
Comptes, accès , habilitation		CAT5
Demande de services utilisateur 		CAT6
Finances		CAT7
Information scientifique et technique		CAT8
Logistique travaux		CAT9
Messagerie		CAT10
Poste de travail périphériques logiciels		CAT11
Qualité		CAT12
Réseaux stockage infra		CAT13
RH Expertise Offres mobilité		CAT14
Téléphonie Wifi Nomadisme Télétravail		CAT15
Visio Video Salles conférence		CAT16